,Summary,Priority
0,JDBC Appender should use JNDI Manager and JNDI access should be limited.,Major
1,ExtendedLoggerWrapper.logMessage double-logs when location is requested,Major
2, should not re-format the result of Message.getFormattedMessage,Major
3, does not take the MessageFactory into account,Major
7,CVE-2021-45105 fix for Java 7,Major
8,MapLookup should lookup MapMessage before properties,Major
9, 2.x mitigations for CVE-45046 is insufficient,Major
10, 1.2 bridge for Syslog Appender defaults to port 512 instead of 514,Major
12,-core-2.0-beta9.jar CVE-2021-44228 vulnerability ,Major
13,Limit JNDI to the java protocol only,Major
15,Certain strings can cause infinite recursion,Major
16,JNDI lookups in layout (not message patterns) enabled in 2 < 2.16.0,Major
17,UPgrade,Major
19,Limit the protocols JNDI can use and restrict LDAP.,Major
20,ScriptAppenderSelector documentation example fails with importPackage undefined.,Major
22,JsonTemplateLayout epoch resolver renders incorrect values,Major
23,Kafka appender with new topic configuration get overried by the old one,Major
24,Wrong subject on mail when it depends on the LogEvent,Major
25,SmtpManager sends emails with OFF level messages,Major
26,Reduce indirection/branching in PatternLayout to improve throughput,Major
30,"JsonTemplateLayout unable to print file name, line number.",Major
31,Marker.getParents() is not thread-safe,Major
32,FixedDateFormat performs poorly with a PreciseClock,Major
33,RandomAccessFile appender uses incorrect default buffer size,Major
34,Kuberenetes Lookup referring to wrong  classname,Major
36,Avoid overhead in *Manager.setEndOfBatch(boolean),Major
37,Attempting to call getExtendedStackTraceAsString() after deserializing JSON LogEvent results in a NPE,Major
41,ComodificationException in concurrent access to LoggerContext::stop,Major
42,Asynchronous Logger WAITS indefinitely after end of main method,Major
43,Category.setLevel should accept null value,Major
44,JSON Template Layout JsonWriter formattableBuffer Memory leak,Major
47,Race in JsonTemplateLayout where a timestamp could end up unquoted,Major
48,Why the logger get by  LoggerFactory.getILoggerFactory() can only use current LoggerContext,Major
49,Messages logged inconsistently when using JsonTemplateLayout.,Major
50,Broken link to Wiki,Major
54,Integer overflow in DefaultErrorHandler,Major
55,NameUtil.md5(String) could leak plaintext credentials,Major
58,Logger.throwing(Throwable) does not document level it is logging at,Major
59,Logger.catching(Throwable) does not document level it is logging at,Major
61,Change of java Thread name is not reflecting in 2 logs (pattern ),Major
62,"ForkJoinPool common pool is initialized, no option to supply another executor",Major
63,JsonWriter truncation doesn't take surrogates into account,Major
65,JdbcAppender composes an incorrect INSERT statement without a ColumnMapping element.,Major
66, fails to initialize with --cloud-config in Java 8,Major
67,"Rename EventTemplateAdditionalField#type (conflicting with properties file parser) to ""format""",Major
68,AsyncAppender thread gets killed with ThreadDeath exception,Major
70,Deadlock between JUL and Disruptor using async logging,Major
71,JsonTemplateLayout event additional fields are not read from config,Major
72,Shutdown callbacks registered in LoggerContext.setUpShutdownHook() aren't strongly referenced,Major
73,Properties are not resolved with 1 configuration,Major
74,High CPU at Java 11 due to the use of StackWalker from StackLocator.getCallerClass,Major
75,NPE in MDCContextMap,Major
76,"""AsyncAppender is not active"" when logging with AsynAppender while the system is reconfigure  concurrently",Major
77,"If loggercontext got reconfigured and kafka appender got recreated, the previous producer can not be closed, which cause thread leak",Major
78,2EventListener in ....cloud.config.client listens for wrong event,Major
79,2 Cloud Config Logging System can't load config,Major
81,LogEventWrapper.getThread only works on the first invocation,Major
82,Avoid initializing volatile fields to their default values,Major
83,Error creating rolling file with dated folder,Major
84,Async logging should avoid submitting work from Thread threads,Major
89,Size based rolling stops working after first time base rolling,Major
91,High CPU consumption using StackWalker,Major
92,Kubernetes Lookup fails to get container and image information,Major
93,StreamClosed IOException after first time based rolling,Major
94,ContextDataProvider will cause concurrent threads blocking at the first logging time,Major
95,Null pointer exception when no network interfaces are available,Major
96,NullPointerException in ThreadContextDataInjector,Major
97,Fully asynchronous logging results in two disruptors being created,Major
99,TcpSocketManager.write swallows IOException when retry = false or reconnector != null,Major
101,GelfLayout does not enable locations when a location is required for the message pattern.,Major
102,Allow the file size action to be sensitive to the correct Locale.,Major
104,java.lang.NullPointerException at java9 org.apache.logging..util.StackLocator.calcLocation() ,Major
105,LoggerContext should skip looking up localhost when hostName is configured.,Major
106,TimeFilter does not handle daylight saving time transitions,Major
107,YamlLayoutTest.testAdditionalFields test is sensitive to environment changes,Major
108,Unable to parse the log LEVEL when it ends with SPACE.,Major
110,Timestamp handling ordering regression in JsonLayout between 2.10.0 and 2.11.0,Major
111,Rolling stuck at counter 10 by RollingFile appender when counter is zero padded,Major
114,NullPointerException after reconfiguring via JMX,Major
115,NPE in RoutingAppender without pattern,Major
117,2 fails when a whitespace is in the file path and Java security manager is used,Major
118,RollingFileAppender with DirectWriteRolloverStrategy does not work with HtmlLayout,Major
119,RollingFile does not roll with createOnDemand=true,Major
120,RollingFileAppender: NPE when using a custom DirectFileRolloverStrategy without fileName,Major
121,ClassLoaderContextSelector: WeakReference and GC,Major
122,LoaderUtil.getClassLoaders fails to update loop state,Major
124,Logger.converter can be removed from -18-impl,Major
125,Combination of async logging and -jul results in recursive call warnings,Major
126,Broken link for apache--2.12.1-bin.tar.gz,Major
127,-web is unable to locate the servlet context in  Boot.,Major
128, log rotation failing,Major
129,RingBufferLogEvent.clear() is not called in case of OutOfMemoryError (or any other exception/error),Major
130,Slow initialization under Windows,Major
131,2 can't compress rollover log file,Major
132,"ArrayIndexOutOfBoundsException in UuidUtil, when MAC address is longer than 6 bytes",Major
134,"PluginValue does not support attribute names besides ""value""",Major
136,DeleteAction race results in failure to delete rolled files,Major
138,Automatic-Module-Name missing from some jars,Major
139,"""Values not bound to statement"" when using JDBC appender, appender does not respect bufferSize=""0"".",Major
140,Exceptions during compacting in the context of RollingFileAppender are not logged,Major
141,JSON output wrong when using additonal fields,Major
142,ArrayIndexOutOfBoundsException in the initialization of UuidUtil,Major
144,Circular dependency in -core pom.xml,Major
145,Wrong java.version check in ThreadNameCachingStrategy,Major
146,RoutingAppender purge policy should only stop appenders that the RoutingAppender has created,Major
147,RoutingAppender + purge policy race results in attempts to append to a closed appender,Major
149,maxLength for StructuredDataId and StructuredDataMessage always maximum 32,Major
150,"Possible ClassCastException in org.apache.logging..core.script.ScriptManager.ScriptManager(Configuration, WatchManager)",Major
151,"Typo in method name org.apache.logging..core.config.composite.MergeStrategy.mergConfigurations(Node, Node, PluginManager)",Major
153,Fix RollingAppenderSizeWithTimeTest.testAppender flakes,Major
154,NullPointerException at org.apache.logging..core.appender.db.jdbc.JdbcDatabaseManager.writeInternal(JdbcDatabaseManager.java:803),Major
156,"Windows - File creationTime issue for RollingFileAppender, combined time/size policy",Major
157,Asynchronous logging when the queue is full results heavy CPU load,Major
158,java.lang.StackOverflowError at org.apache.logging..junit.AbstractExternalFileCleaner.println(AbstractExternalFileCleaner.java:169),Major
159,Same file is overwritten on rollover which causes logs loss,Major
160,StackOverflowError at org.apache.logging..LogManager.getContext(),Major
162,RollingFileAppender don't append log file after restart service.,Major
164,Missing curly brackets at value gitUserName annotation,Major
168,Add -appserver to BOM,Major
171,In -core AbstractStringLayout java version detection is not JEP223 compatible,Major
173,NullPointerException in JdbcAppender.createAppender(),Major
174,Literal values do not work with ColumnMapping for JdbcAppender,Major
175,-1.2-api works only with core,Major
176,TLS syslog appender: doc suggests to use <TLSSyslog> to configure appender,Major
177,Event starting with upper case not found by AbstractEventLogger.logEvent,Major
179,Add  to BOM pom.xml,Major
180,Cron and Size Triggering Policies not rolling properly,Major
181,StructuredDataMessage is not logged,Major
182,concurrent modification exception when using list appender,Major
185,Strings.toRootUpperCase must be a static method,Major
186,"JDBC Appender fails when using both parameter, source, and literal ColumnMapping elements",Major
187,JMS Appender may throw a NullPointerException when JMS is not up while the Appender is starting.,Major
188,JmsAppender reconnectIntervalMillis cannot be set from a configuration file,Major
189,SizeBasedTriggeringPolicy is not honored when using the DirectWriteRolloverStrategy if the machine restarts,Major
190,BasicContextSelector cannot be used in a OSGI application,Major
191,Avoid NullPointerExceptions in org.apache.logging..core.config.AbstractConfiguration for null arguments to appenders,Major
193,org.apache..SimpleLayout and ConsoleAppender missing in -1.2-api,Major
194,ColumnMapping literal not working,Major
195,RollingRandomAccessFileManager ignores new file patterns from programmatic reconfiguration,Major
196,Missing dependency to -18-impl in -bom,Major
197,ErrorHandler should be invoked with the failing LogEvent when possible,Major
198,AbstractAppender.setHandler(null) should not set a null ErrorHandler,Major
199,Setting the exceptionHandler on the AuditEvent sets it as a ThreadContext variable,Major
200,Handle some unchecked exceptions while loading plugins,Major
201,AbstractEventLogger.logEvent doesn't check for missing required context attributes,Major
202,NullPointerException when closing never used RollingRandomAccessFileAppender,Major
204,Lock contention in classloader because of missing org..ext.EventData,Major
205,Exceptions are added to all columns when a JDBC Appender's ColumnMapping uses a Pattern,Major
206,Predeployment of PersistenceUnit that using  as session logger failed (#198),Major
207,Fix incorrect links in  web documentation.,Major
208,fix the CacheEntry map in ThrowableProxy#toExtendedStackTrace to be put and gotten with same key,Major
211,StringBuilder escapeJson performs unnecessary Memory Allocations,Major
212,Outputs wrong message when used within overridden Throwable method,Major
213,LoggerContext leak using LoggerFactory,Major
214,NameAbbreviator skips first fragments,Major
215,PropertiesUtil.reload() might throw NullPointerException,Major
216,MongoDB Test Flakes,Major
217,Typo in -api Activator,Major
218,JsonLayout not working with AsyncLoggerContextSelector in 2.11.0,Major
220,Errors thrown in formatting may stop background threads,Major
222,java.util.ServiceConfigurationError: org.apache.logging..util.PropertySource: Provider org.apache.logging..util.EnvironmentPropertySource not a subtype,Major
223,Custom Async ContextSelectors should disable location by default,Major
224,AsyncLogger without specifying a level always uses ERROR,Major
225,AbstractLogger NPE hides actual cause when getFormat returns null,Major
226,AsyncQueueFullMessageUtil causes unparsable message output,Major
227,getNonNullImmutableMessage should retain format and parameters,Major
228,NullPointerException while calling Configurator.setLevel(),Major
229,Using async appender with json layout causes only the message to be written,Major
230,Reusable event memento messages should retain format,Major
231, 2.10+not working with  1.8 in OSGI environment,Major
4,PropertiesConfiguration.buildAppender not adding filters to custom appender,Blocker
5,MD5 Hash links for 2.3.1 are all broken,Blocker
6,Broken download page links and incorrect titles,Critical
11,PropertiesConfiguration.parseAppenderFilters NPE when parsing properties file filters,Blocker
14, 1.2 bridge API hard codes the Syslog protocol to TCP,Blocker
18,Lookup not found while Interpolator initializing,Critical
21,DefaultErrorHandler can not share values across threads,Critical
27,EncodingPatternConverter CRLF encoding is slow with large log messages (it has quadratic time complexity),Minor
28,RollingFileAppender: Overwritting rotated log file when using zip,Critical
29,wrong documentation for logging with Level.OFF,Minor
35,Timestamp always returns 0 for LogEventAdapter,Minor
38,"Wrong value ""false"" of RollingFileAppender.immediateFlush when configured from a  1.x configuration",Minor
39,Fix logger placeholders,Minor
40,SmtpManager.createManagerName ignores port,Minor
45,JsonTemplateLayoutNullEventDelimiterTest sporadically fails on Windows,Minor
46,Windows build fails,Minor
51,JsonTemplateLayout timestamp resolver doesn't format nanoseconds,Minor
52,Issues using Lookup Plugin in Json Template Logging,Minor
53,ensure EncodingPatternConverter#handlesThrowable is implemented,Minor
56,BasicContextSelector.hasContext should take default CONTEXT into account,Minor
57,OutputStreamManager does not clear buffer on exception,Trivial
60,"1ConfigurationConverter on Windows produces ""&#xd;"" at end of every line",Minor
64,OnStartupTriggeringPolicy only rolls over when minsize = 0 with DirectWriteTriggeringPolicy,Minor
69,NullPointerException when used the messageParameter resolver of the JsonLayoutTemplate,Minor
80,Reconfiguration failed during backend server startup,Blocker
85,typo in log line,Trivial
86,Reconfigure doesn't work for XmlConfiguration 1 compat,Minor
87,Data-Time Formate in HTML Layout,Blocker
88,Date patterns with microseconds do not work,Minor
90,JUL adapter ignores log filters,Minor
98,Error message contains reference to non-existent DirectFilenameRolloverStrategy,Minor
100,RollingRandomAccessFileAppender not using filePermissions,Blocker
103,NullPointerException from AsyncLogger,Minor
109,Performance issue in  2.12.1 and  2.13.0,Blocker
112,ServletContainerInitializer gets the StatusLogger too early.,Minor
113,No placeholder supplied for message logged in RollingFileappender,Minor
116,TimeBasedTriggeringPolicy of RollingRandomAccessFile is not updated instantly,Minor
123,Change in shutdown behaviour between 2.12.1 and 2.13.0,Minor
133,MapMessage#getFormattedMessage() incorrectly formats Object's,Minor
135,Not compressing after rolling a file using copy and truncation method,Critical
137,OutputStreamAppender.Builder ignores setFilter(),Trivial
143,Validation blocks definition of script in properties configuration,Minor
148,${web:rootDir} not working in weblogic 12c,Blocker
152,Backward compatibility with third party subclasses is broken by added constructor argument in ThrowablePatternConverter,Minor
155,AsyncQueueFullPolicy value short names should be case insensitive,Minor
161,StackOverflowException when server not reachable with SocketAppender,Critical
163,Unable to reinstate old timeMillis timestamp using 2.clock property in JSON layout,Minor
165,Event.toString() fails for events without attributes,Minor
166,RequestContextMappings should ignore private and instance fields,Blocker
167,CronExpression.getTimeBefore() returns incorrect result,Critical
169,StackTraceElementDeserializer fails to deserialize when using Java 9 or above,Minor
170,Error using  in pattern : MapPatternConverter cannot contain multiple static newInstance method,Blocker
172,"RollingFileAppender cannot be configured with both OnStartupTriggeringPolicy and createOnDemand=""true""",Minor
178,Error message contains reference to non-existent DirectFilenameRolloverStrategy,Trivial
183,Make MapMessageLookup.lookup usable with MapMessage again,Minor
184,RollingFileManager OnStartupTriggeringPolicy never rolls the file on startup,Minor
192,JMH Benchmarks in not consuming all computed variables (risk of DCE),Minor
203,Better handling of optional properties,Minor
209,Thread indefinitely blocked when logging a message in an interrupted thread,Critical
210,NullPointerException in org.apache.logging..util.LoaderUtil.getClassLoaders() when using Bootstrap class loader,Blocker
219,AsyncLoggerConfig background thread name contains extra hyphen,Trivial
221,Rolling file appender concatenating debug message instead of using formatting,Minor
240,"Strings::join, when called with [null] returns ""null"" instead of EMPTY",Minor
246,RollingRandomAccessFile appender with DirectWriteRolloverStrategy fails with a NullPointerException when a header is supplied,Critical
249,Insufficient Permissions Error when Rolling Log Files,Minor
253,MainMapLookup ${main:--file} placeholder doesn't work,Blocker
257,Cannot define both `filters` and `separator` for PatternLayout Ex,Minor
261,ThreadContext map is cleared => entries are only available for one log event,Critical
264,StackOverflowError at AwaitCompletionReliabilityStrategy,Blocker
272,LoaderUtil getClassLoaders() method and while loops,Minor
278,Wrong Apache Commons CSV version referenced in the Javadoc of CsvParameterLayout,Trivial
283,"RollingFileManager not removed when RollingFileAppender is stopped, using DirectWriteRolloverStrategy",Blocker
285,java.locale.providers set to HOST causes 2 to crash in Java 9,Blocker
287,Exception java.nio.charset.UnsupportedCharsetException: cp65001 in 2.9.0,Minor
288,NullPointerException in LogManager.getLogger when called from anonymous class initializer,Critical
296,Stack locator calc location is broken on JDK 9 in 2.9.0,Minor
297,java.lang.AbstractMethodError: javax.xml.parsers.DocumentBuilderFactory.setFeature(),Minor
303,StyleConverter.newInstance argument validation is incorrect,Minor
304,HighlightConverter converts all unrecognised levels to DEBUG,Minor
318,Docker build broken with -api-java9,Trivial
322,ClassNotFoundException when making all loggers asynchronous under OSGi environment,Blocker
323,JMS Appender does not know how to recover from a broken connection,Critical
326,Having -core on the compile classpath somehow breaks compilation even if I'm not calling it,Blocker
327,ScriptEngineManager is not available in Android and causes a NoClassDefFoundError,Blocker
339,Plugins lookup by package is not compatible with  Boot jar packaging,Minor
340,Cassendra's integration test fails on Windows,Minor
344,NullPointerException using fileName property of RollingFile Appender with DirectWriteRolloverStrategy,Minor
347,(not only) default rollover strategy is *broken*,Blocker
352,Upgrade Logback to version 1.2,Minor
357,Error determining the current charset,Blocker
358,InterruptedException on RollingFileManager#rollover(),Minor
375,Unwanted transitive dependency on geronimo-jms_1.1_spec causes OSGi tests to fail,Minor
384,CronTriggeringPolicy uses wrong naming and produces NPE,Critical
385,"CronTriggeringPolicy breaks awefully when using ""reconfigure"" of LoggerContext",Critical
388,Fix MemoryMappedFileAppender.createAppender() Javadoc for immediateFlush,Minor
392,FlumeAppender get shutdown timeout 0,Blocker
393,KafkaAppender get shutdown timeout 0,Blocker
405, New method on LifeCycle interface breaks binary compatibility ,Blocker
407,Value nesting during property substitution,Minor
409,Layout is no longer optional,Minor
410,Logging with a lambda expression with a method call that also logs causes logs within method call to reference line num and method name as parent method,Minor
417,[CronTriggeringPolicy] ConfigurationScheduler schedules the task infinitely after first fire,Blocker
418,java.lang.ArrayIndexOutOfBoundsException in ParameterizedMessage.formatTo(ParameterizedMessage.java:221),Critical
432,(GC) ate conversion pattern with a period '.' is not garbage free,Minor
433, RollingFileAppender every minute,Minor
438,Class loader deadlock when using async logging and extended stack trace pattern,Critical
440,OnStartupTriggeringPolicyTest fails on Windows saying the file is used by another process,Trivial
447,Minor issues with the 2.6.1 web site,Minor
448,ArrayIndexOutOfBoundsException in ReusableParameterizedMessage ,Critical
451,2.6 is re-logging prior throwable instead of logging the throwable that is currently passed in by application code,Critical
454,Minor issues with the 2.6 web site,Minor
458,"XMLLayout indents, but not the first child tag (<Event>)",Minor
462,No configuration reload is triggered under Windows when replacing the configuration file with one that has older last modified date.,Minor
463,Exception from ServletContextListener prevents jetty--plugin run-forked.,Minor
481,NullPointerException in FastDateParser$TimeZoneStrategy,Minor
489,Async DynamicThresholdFilter does not use the log event's context map,Minor
497,org.apache.logging..core.appender.routing.IdlePurgePolicy not working correctly,Critical
498,Incorrect log rotation in last week of year,Critical
503,Dead lock observed in BlockingWaitStrategy in ,Critical
506,Documentation/XSD inconsistencies,Minor
507,MongoDbConnection does not close MongoClient,Critical
513,ERROR Unable to rename file in version 2.4 and 2.4.1,Critical
515,Applications using -2.5 with monitorInterval never shut down,Critical
520, JUL adapter is using MessageFormat on String passed by java.util.function.Supplier<String>,Minor
530,OutputStreamManager in ConsoleAppender leaking managers,Minor
533,NullPointerException when passing null to java.util.logging.Logger.setLevel(),Blocker
536,"AbstractStringLayout implements Serializable, but is not Serializable",Critical
537,Misleading StatusLogger WARN event in LogManager with java.util.Map,Minor
540,Improper handling of JSON escape chars when deserializing JSON log events,Minor
542,ThrowableProxy getExtendedStackTraceAsString throws NPE on deserialized nested exceptions,Minor
546,Marker#contains(String) does not respect org..Marker contract,Minor
552,Socket and Syslog appenders don't take timeout into account at startup,Minor
554,Backward compatibility issue in -1.2-api NDC pop() and peek(),Minor
563,2 Main Arguments Lookup by name doesn't work,Critical
569,"RollingFileAppender only rotates when time is after rollover time, not on exact match",Critical
577,Incorrect unlock in ProviderUtil,Trivial
578,Numerical overflow in BurstFilter not handled correctly,Trivial
580,Using monitorInterval with YAML config file format causes JSONParseException,Minor
581,Typo in EventLogger documentation,Trivial
585,2.component.properties not read for all properties,Minor
587,System.out no longer works after the Console appender and JANSI are initialized,Critical
592,Missing toUpperCase(Locale.ENGLISH),Critical
593,"Manual refers to Route ""AppenderRef"" attribute, should be ""ref""",Minor
595,Incorrect attribute name in PropertiesRewritePolicy example,Minor
597,A new StatusLoggerAdmin listener is added to StatusLogger every time the log is reconfigured,Minor
599,Reconfiguring statusLogger to a higher level doesn't work correctly,Minor
601,org.apache.logging..core.jmx.Server never shuts down the ExecutorService it creates,Critical
605, 1.2 Bridge doesn't map level ALL correctly in Category.getEffectiveLevel(),Minor
608,Logging system fails to initialize if XInclude is not available,Minor
609,Combining Root and AsyncRoot in Xml configuration,Minor
611,ThrowableProxy.getExtendedStackTraceAsString causes NullPointerException ,Minor
623,RollingRandomAccessFileAppender appends the header every time the application is started.,Minor
630,ThrowableProxy fails if a class in logged stack trace throws java.lang.Error from initializer,Blocker
631,failure to shutdown JVM when join called on AsyncAppender thread,Minor
634,PermGen OutOfMemoryError when reloading webapp on Tomcat 6,Critical
635,MarkerManager Marker.hasParents() returns opposite of correct result,Minor
641, 2 throws ArrayIndexOutOfBoundsException,Critical
644,"Logger only accepts Marker, not 's Marker",Minor
652,Stray 2Plugins.dat appears during build,Trivial
653,Webapp configuration page has incorrect class name,Minor
659,Emit warning message to console if no config file found,Minor
664,Android: java.lang.VerifyError: org/apache/logging//core/util/Closer,Blocker
669,-D.configurationFile no longer accepts relative paths,Minor
670,"Android: Could not find class 'javax.naming.InitialContext', referenced from method org.apache.logging..core.lookup.JndiLookup.lookup",Blocker
671,LoggerConfig#waitForCompletion is not thread safe,Critical
672,Self written Appender stopped working,Critical
679,"Log rotation partly failed with error: ""Unable to create directory ...""",Critical
680,Minor issues with 2 web site/documentation,Minor
685,AsyncAppender ignores RingBufferLogEvents from AsyncLoggers (when all loggers async by setting context selector),Minor
686,Plugins data file needs to be in META-INF for OSGi compatibility.,Blocker
688,Log files not properly rolled over to the folder.,Critical
701,Unable to recover after loading corrupted XML,Critical
703,NoSQL appender logging password in clear text.,Critical
706, closes MongoDB connections after the first log message,Critical
710,JMX Memory Leak in Servlet Container,Critical
712,Memory Leak,Blocker
715,The name of the Logger implementation should point to  2,Critical
720,No easy way to point to a configuration file in the WEB-INF folder,Minor
721,Migration from 1.x page lists incorrect classes,Minor
725,LogEvents with exceptions fail to deserialize,Critical
740,MalformedObjectNameException: Invalid escape sequence... under Jetty,Minor
745,BaseConfiguration class does not properly implement Configuration interface,Minor
747,Resolution of ${hostName} in 2.xml file only works after first reference,Minor
750,Cannot load 2 config file if path contains plus '+' characters,Trivial
755,Race condition on Web app configuration prevents ${web:initParam. lookup,Minor
761,2 should not automatically start in Servlet 3.0,Critical
767,2 Database insert problem in Websphere,Blocker
769,exception on shutdown tomcat in Mac OSX,Minor
770,JDBCDatabaseManager does not send commit command,Minor
771,2 Performs poorly with 500 concurrent users with Jboss 5.1.GA and JDK 6,Critical
772,RollingRandomAccessFile pattern layout not work for mathod and line no,Minor
773,exception related data put into one log file and rest of them put into another log file,Critical
783,ConfigListener is starting LoggerContext twice,Minor
784,"""EnterpriseNumber"" is missing in the ID of structured data when RFC5424Layout is used",Blocker
786,Logger.info(Message) Javadoc is incorrect,Trivial
791,Flume appender crashes when lock timeout occurs,Blocker
796,NPE during shutdown.,Critical
797,Classloader issue in OSGi-environment,Critical
798,Build-path-issue. Invalid file or path...,Minor
805,NoSQLAppender using MongoDB provider ignores username and password attributes,Critical
808,Cyclic dependency in OSGi-context. Apache   Binding <-> -api,Blocker
809,logging.-1.2-api doesn't export the  API 1.2. Dependent bundles can not be resolved.,Blocker
817,Endless loop in ThrowableProxy.getCurrentStack,Critical
818,Appender stops logging because META-INF/-provider.properties is left open,Trivial
833,FastFileAppender overwrites previous log entries ,Minor
834,Failover appender doesn't fail over on JDBC appender error,Minor
835,"Change Javadoc generation per CVE-2013-1571, VU#225657",Critical
840,Wasted work in RollingAppenderSizeTest.testAppender() and other tests,Minor
842,Wasted work in UUIDUtil initialization,Minor
843,Wasted work in XMLLayout.toSerializable(),Minor
850,Incorrect error message if agent name specified in Flume appender properties,Minor
855,Multi-byte character strings are scrambled in log output,Blocker
856,Race condition when setting new filename in RollingFileAppender related code,Blocker
859,EmptyStackException when logging exceptions with 2 in Java 8,Blocker
865,PDF table of contents misses Configuration and Layouts sections,Minor
867,IllegalStateException thrown during Tomcat shutdown,Critical
874,"""entry"" and ""exit"" messages prepended with extra space, spaces not consistent between entry and exit",Minor
877,Deadlock with SocketAppender,Critical
878,LoggerContext method name misspelled (removeFiler should be removeFilter),Minor
885,${env:...} is not replaced in fileName,Minor
888,"The ""appender-ref"" functionality doesn't work perfectly in the AsynchAppender",Minor
893,IllegalArgumentException during AsyncAppender shutdown,Minor
896,LogManager.getLogger doesn't work,Critical
897,Include arbitrary message fields in RFC-5424 structured data,Minor
902,RFC5424 SD PARAM/VALUE escaping,Critical
903,LocalizedMessageTest fails on linux system,Blocker
907, 1.2 API implementation ClassCastException with SimpleLoggerContext,Minor
911,Exception while deserializing event from SocketAppender,Critical
912,Documentation is lacking info about valid status levels,Minor
913,Typo in documentation of SocketAppender,Trivial
924,Naming JMSQueue Appenders,Trivial
928,Socket/Syslog reconnectionDelay results in constant reconnects,Critical
939,Bad priority in Syslog messages,Critical
941,"MapRewritePolicy always behaves like mode ""Add""",Minor
949,PatternLayout appender not respecting format modifiers,Minor
950,level not tested when -impl and org.:jcl-over-,Critical
956,"RollingFile with filePattern=""logs/app-{MM-dd-yyyy}.log""",Minor
958,"Binary package does not include ""apache"" name in root directory",Minor
963,Level.toLevel throws IllegalArgumentException instead of returning default Level,Minor
964,' test' requires initial ' install',Minor
965,ClassCastException in Category logger,Blocker
3,Accidental cache evictions in PersistentEntitiesResourceMappings,Major
4,In case of low memory after GC all repository mappings are removed and 404 is returned,Major
6,ConcurrentModificationException in PersistentEntitiesResourceMappings.java,Major
8,ConcurrentModificationException in PersistentEntitiesResourceMappings.getMappingFor(…),Major
10,Patch does not work when Lists occur somewhere in path and not at root,Major
11,ConcurrentModificationException in PersistentEntitiesResourceMappings,Major
14,Associated resources gets embedded and also linked,Major
15,Unable to fetch resource with LAZY property,Major
16,Fields mapped with JsonAnySetter are no longer updatable with http PATCH,Major
20,Repository cors configurations are ignored unless there is a global cors configuration set ,Major
22,Backend read-only properties overridden for PATCH requests,Major
29,Proxy class detection for Hibernate 5 fails,Major
31,sort repository return sort divided by sub class,Major
33,"PUT and PATCH don't work, when custom entity lookup is configured.",Major
37,BasePathAwareController disables DTO validation,Major
