,Summary,Priority
292,"""InactivityMonitor Async Task"" threads leaking",Critical
293,OutOfMemory error on  startup,Critical
294,persistent messages disappear (lost!!) upon expiry rather than ending up in a DLQ,Critical
295,Closing a VMTransport can cause all other VMTransports to be prematurely closed,Critical
296,Race condition in  Journal Checkpoint worker thread cleanup leads to multiple running instances,Critical
298,Network bridge causes deadlock on queue/topic when message dispatch and consumer registration overlap.,Critical
299,Same message redelivered again even though moved to a different queue using web console,Critical
300,kahaDB 3 fails to start after server VM reset,Critical
301,Queue stalls after Job Scheduler component shuts down.,Critical
302,Failed to page in more queue messages - Cannot consume messages,Critical
304,"JRUBY  CLIENT: Exception in thread "" Session Task"" java.lang.StackOverflowError",Critical
305,New clients unable to connect to broker while SubscriptionRecoveryPolicy is running,Critical
306,DiscoveryNetworkConnector and IPv6,Critical
308,Consumers hang when flow control is enabled - unable to proceed?,Critical
309,Kahadb,Critical
310,Time Synchronization Solution,Critical
311, broker processing slows with consumption from large store,Critical
312,"HttpTunnelServlet leaks BlockingQueueTransport objects, causing eventual OOM on heap space",Critical
314, leaks memory for a typical request/response pattern (temporary queues),Critical
315, broker fails to start due to java.lang.NullPointerException,Critical
316,"Message getting stuck on queue, leading to KahaDB log files not being deleted and disk running out of space",Critical
318,bin/ shell script swallows startup errors,Critical
321,Clients are sent messages out of producer-order,Critical
322,Kaha persistence adapter not closing opend file after lock check in secondery server: shared file system mode,Critical
323,NullPointerException in kahadb linked list,Critical
326,a bug when send time out,Critical
327,ConnectionInfo does not override toString to stop logging actual Password in case of Warning. ,Critical
328,Handle leak when out-of-memory,Critical
329,ConcurrentModificationException while sending messages to composite destinations,Critical
331,"When running multiple brokers on the same box, ""-admin stop"" command on a downed instance will shutdown other instances",Critical
332,Session should throw JMSException instead of IllegalStateException if connection is closed,Critical
335, not preserving Message Order,Critical
337,KahaDB rollback fails when connection is closed afterwards,Critical
338,KahaDB doesn't clean up old files,Critical
340,Apache  is prone to XSS Vulnerability,Critical
341,BlobMessages are not deleted after delivery,Critical
342,Cannot rename file,Critical
343,Apache  is prone to source code disclosure vulnerability.,Critical
344,DefaultJDBCAdapter returns incorrect value that prevents  from starting.,Critical
346,Producer Flow Control seems to be broken,Critical
349,"Exception on setting ""sendFailIfNoSpaceAfterTimeout""",Critical
350,Persistent Cross-site Scripting in /createDesitnation.action [JMSDestination parameter],Critical
351,Persistent Cross-site Scripting in /createDesitnation.action [JMSDestination parameter],Critical
353,Memory leak in network of brokers - the number of ConsumerInfo objects increases,Critical
354,OutOfMemory provoked by Advisory messages,Critical
355,QueueBrowser cause duplicate message delivery on network broker after restart,Critical
356,Client stops receiving messages from topic after about 30 minutes of inactivity,Critical
357,Broker goes down when database is restarted or goes down,Critical
359,Channel was inactive for too long,Critical
361,Hangs possible because of Queue.doPageIn,Critical
362,Failover transport memory leak on rollback,Critical
363," doesnt accept connections, and displays error like "" Transport ERROR: Could not accept conenctions ,connection reset. Also the message count is not displayed properly. The messages received is less than messages passed.",Critical
364, performance issues when there are more than 100 queue'd up messages,Critical
368,Setting keepAlive through URL does nothing,Critical
373,"Number of messages when browsing queue is different to ""Number Of Pending Messages"" in queue list",Critical
375,-exceptions,Critical
376,Modifying an existing Durable subscription blocks that subscription from receiving messages,Critical
378,The MaximumPendingMessageLimit option is doesn't work  in .Net,Critical
381," with STOMP producer, multiple consumers --  doesn't distribute correct messages to additional consumer AND Delivers messages out of order to newly connecting consumer.",Critical
383,An application but always throw out of memory exception ,Critical
384,Message expriation causes that receiver gets stuck,Critical
385,AMQ dies after few hour with OutOfMemoryErrors,Critical
386,Reply queue performance hit upgrading to 5.2,Critical
387,Multicast transport does not work when for a consumer or producer,Critical
388,Failover transport should not hang on startup if it cannot connect,Critical
389,OutOfMemoryError after 9505925 persistent messages,Critical
391,Deadlock in org.apache..usage.Usage,Critical
392,Deadlock on producerWindow.waitForSpace() in MessageProducer,Critical
393,More than one Thread can be created for a JMS Session,Critical
394,durable subscriber gets stuck while using persistent delivery mode and client acknowledgment with session.recover().,Critical
398,Systems hang due to inability to timeout socket write operation,Critical
399,MemoryUsage stays at 100used forever after all messages are sent,Critical
400,Negative queue size (reproducible),Critical
402,AbstractStoreCursor.size gets out of synch with Store size and blocks consumers,Critical
403,Kaha store can not retrieve messages with non ASCII charcaters,Critical
405,Non-transactional and exclusive consumer may receive messages out-of-order.,Critical
406,>1 transactional and exclusive consumers receiving messages at the same time.,Critical
407,"consumer stop consuming message when using selector,what's the problem?",Critical
408,Deadlock in broker can occur when optimised dispatch is true,Critical
409,ArrayIndexOutOfBoundsException on restart of broker with durable subscriptions,Critical
410,Master broker is down when slave broker is crashed,Critical
412,"JCONSOLE: Graph Feature doesn't work for QueueSize, Dequeuecount, etc.",Critical
414,HashIndex leaks file handles when destination is removed,Critical
417,Lost messages after broker recovery,Critical
418,Topic messages cause MemoryUsage to increase slowly over time,Critical
419,OOM under minimal load,Critical
421,Https JMSBridgeConnector failed to recover due to an infinite loop in Journal cleanup.,Critical
423, stops dispatching messages aborting transaction (STOMP),Critical
424,Memory leak in broker - Temporary Queue related (fix proposal included),Critical
425,Journal files don't get cleaned up,Critical
427, 4.1.2 packaged with geronimo-jms_1.1_spec-1.1.1.jar that is not Java 1.4 compatible,Critical
428,Resource Adapter's ManagedSessionProxy.setMessageListener is commented out.,Critical
431,Exception on publishing persistent (disk persistence) message once consumer comes up.,Critical
433,Error with virtual topic with more than one consumer name,Critical
436,AmqPersistenceAdapter throws java.io.IOException: Failed to read to journal for: offset,Critical
437,PooledTaskRunner fails to shutdown after task throws exception,Critical
441,Number of items in Topic queue never empties out (Queue Size in JMX for every topic seems to be > 0 all the time),Critical
442,Closing an  connection causes 1.5 JVM to crash,Critical
444,ArrayOutOfBoundsException in InputStream,Critical
446,Unescaped text messages in message detail,Critical
447,Can not unsubscribe topic,Critical
448,HasPage overflow results in indexOutOfBoundsException in AMQStore,Critical
449,InactivityMonitor incorrectly assumes there isn't activity on a Transport,Critical
451,Channel was inactive for too long.,Critical
453,deadlock in Usage & Topic,Critical
455,Deadlock between Transport and Scheduler,Critical
456,Deadlock between FilePendingMessageCursor and MemoryUsage,Critical
457,Duplicate messages dispatched when using AMQ Store,Critical
458,RecoveryListenerAdapter - Message id ID... could not be recovered from the data store!,Critical
459,When in XA Transaction Active-MQ integrated with OpenEJB hangs in the isSameRM method of LocalAndXATransaction. ,Critical
460,The connection is already closed at MDB's rollback in ra,Critical
463,Stomp address connections remain active,Critical
468,AMQ 4.1 branch faied to build,Critical
469,Failing to acquire exclusive lock - MySQL and other strange errors,Critical
470,Scheduler.cancel uses incorrect argument to shutdown threads,Critical
471,Connections are not being properly disposed of.,Critical
477,Start Broker SQL Exception,Critical
479,Client deadlock during failover,Critical
481,"Closing consumer does not free server memory, server heap overflows",Critical
482,Memory usage jumps > 100with durable subscription and stays there,Critical
483,Some tools from Command line not works properly,Critical
484,Incorrect redelivery behavior and counters,Critical
485,AMQ Stops dispatching messages after a period of time without errors/warnings,Critical
486,Tomcat JVM hangs when it tried to get ConnectionFactory object,Critical
487,Build of current trunk with 2 fails,Critical
489,Messages are read from queue but not removed,Critical
490,Problem with subscription passing with network of brokers in AMQ 4.0.2,Critical
492,StreamMessage should support large text format in writeString.,Critical
495,Exception thrown when compiling -optional.,Critical
496,SocketWrite hangs indefinitely,Critical
497,POM error means I can't use a dependency on 4.1-incubator-SNAPSHOT,Critical
498,create a super pom for tooling projects in  so we can create a nightly build of the various  plugins,Critical
501,ConduitBridge can malfunction when first of a set of consumers goes away,Critical
503,ConnectionDotFileInterceptor not thread safe.,Critical
504,Broker is not delivering all messages to slow consumer,Critical
505,Possible 4.0 consumer client memory leak?,Critical
506,Network connections do not reconnect when using static: with failover=true,Critical
507,Cannot add a new connector using ManagerGBean,Critical
510,Multiple durable topics don't work with network of brokers,Critical
512,Memory leak in ManagedRegionBroker,Critical
515,Infinite Loop after message resend,Critical
518,Openwire client hangs after receiving some hundred messages,Critical
519,Broker is not re-connecting to a network of brokers after going down and then being brought back up,Critical
521,Slave does not detect master failover when master is solaris and slave on windows,Critical
524,4.0 M4 NullPointerException while shutting down,Critical
525,Oracle JDBC Driver error as Persistance backend,Critical
529,Bidirectional channel that is sending data each other in two AciveMQ cann't resume when network was interrupt and resumed.,Critical
530,The  Channel between two AMQ Server Cann't resume when network is after interrupted.,Critical
532,The   Channel between two AMQ Server Cann't  resume when network is after interrupted.,Critical
533,Messages are sometimes sent twice,Critical
537,Can't recive message when I use mysql with driver mysql-connector-java-3.1.8-bin.jar and mysql4.1.15,Critical
538,NPE in  server,Critical
539,Database Connection Leaks,Critical
542,Leaking pooled threads,Critical
543,memory leak in JMSStatsImpl,Critical
544,Multicast is broken and going into infinite loop due to ack problems,Critical
546,Memory Leak in TcpTransportServerChannel,Critical
548,Reliable reconnection process is broken,Critical
549,Server reconnect is not detected with peer protocol (2 peer setup only),Critical
550,lost messages when  with reliable protocol is used,Critical
551,Messages are being lost when using the JCA Connector,Critical
552,Durable subscriptions are not working in the Resource Adapter,Critical
554,TransportChannelSupport have concurrent problem.,Critical
556, / jboss connector - transactions fail,Critical
558,Connector doesn't use proper JavaBean property names in deployment descriptor,Critical
560,JBoss Integration: XA transactions not working,Critical
561,-ra doesn't adhere to the 'Equality Constraints' section of the JCA Spec,Critical
564,ConnectionInfo is not resent on reconnect leaving subscriptions dead,Critical
2, package error,Trivial
3, package error,Trivial
5,VirtualSelectorCacheBrokerPlugin throws false positive exception,Blocker
8,ProviderVersion being reported as 5.15.10 in version 5.16.0,Trivial
10,Rename occurences of POSION to POISON,Trivial
11,Cannot install  on karaf 4.2.9,Blocker
13, producer thread hangs on setXid,Blocker
16, throws concurrentModificationException in failovertransport class,Blocker
18,Transport Connection to: tcp://172.17.30.105:50132 failed: java.net.SocketException: Connection reset by peer: socket write error | org.apache..broker.TransportConnection.Transport | Async Exception Handler,Blocker
19, truststore client.ts not working,Blocker
25,Docker container having  restart making Queues Tab on Console inaccessible,Blocker
26,Past Release Downloads Does Not Work,Blocker
28,Network of Brokers: cannot forward messages back to the broker from which they came,Blocker
30,Inserting Bouncy Castle Provider Early in Java Security Provider Chain Breaks KeyStore Loading,Blocker
37, 5.15.4 jolokia.jar which has one high severity CVE against it.,Blocker
39,ProducerBrokerExchange.getPercentageBlocked() throws ArithmeticException (divide by zero),Trivial
41,Getting error after some time in ,Blocker
42, 5.15.4 xercesImpl-2.11.0.jar which has one high severity CVE against it.,Blocker
43, 5.15.4 -ra-5.15.4.jar which has two high severity CVEs against it.,Blocker
44, 5.15.4 tomcat-servlet-api-8.0.24.jar  which has four high severity CVEs against it.,Blocker
45, 5.15.4 activeio-core-3.1.4.jar  which has three high severity CVEs against it.,Blocker
46, 5.15.4 jackson-databind-2.9.4.jar which has one high severity CVEs against it.,Blocker
47, 5.15.4 hadoop-core-1.0.0.jar which has two high severity CVEs against it.,Blocker
48, 5.15.4 commons-beanutils-core-1.8.0.jar which has one high severity CVE against it.,Blocker
49, 5.15.4 contains scala-library-2.11.0.jar which has one high severity CVE against it.,Blocker
50, 5.15.4 contains -protobuf-1.1.jar which has three high severity CVEs against it.Discovered by adding OWASP Dependency check into  pom.xml and running the OWASP report,Blocker
51, 5.15.4 contains -camel-5.15.4.jar wich has two high severity CVEs against it,Blocker
53,Number Of Pending Messages Did Not Reflect Its Queues Number,Blocker
57,Cannot read queues from machine,Blocker
59,Getting errors after upgrading  jars from 5.5.1 to 5.13.1,Blocker
60,Getting error: cannot find symbol  [javac] entry.setAdvisdoryForFastProducers(true); with  5.13.0,Blocker
61,Getting error: cannot find symbol  [javac] entry.setAdvisdoryForFastProducers(true); with  5.13.0,Blocker
62,"not seeing -core-5.13.1.jar in apache--5.13.0-bin.zip, apache--5.14.0-bin.zip",Blocker
63,Unable to find relative -core-5.5.1.jar libray with latest  5.13.0 binaries,Blocker
65,ConnectionFactory options trafficClass and wireFormat.prefixPacketSize are not accepted by the OpenWire JMS library.,Trivial
68,On  web site's Contributing page incorrect issue tracker URLs,Trivial
70,org.json is cat-x - needs to be removed,Blocker
75,Logger message,Trivial
80,Return inside finally,Trivial
81,Missing check for null parameter in equals(),Trivial
86,Typo in  unix script,Trivial
91,Provide the DispatchAsync value on Subscriptions to the SubscriptionViewMBean,Trivial
93, webconsole breaks when supressMBean is used,Blocker
96,Not able start  5.13.0,Blocker
101,Unable to configure failover for nio+ssl,Blocker
102,SASL PLAIN auth with AMQP doesn't take authzid into account,Blocker
103,Unable to apply policy when set refreshInterval=-1 for cachedLDAPAuthorizationMap,Blocker
105, broker exposing data persistent layer when using oracle database,Trivial
109,test script typo,Trivial
113,The Queue got hanged with a scenario said in description with version 5.11.1 but this works with version 5.5.1,Blocker
114,".apache.org/mqtt.html page is saying ""Can't find brush for : xml""",Blocker
115,"Enable ""getRemoteAddress()"" method in WebSocket Requests",Trivial
118,JDBC store - pending high priority messages batch cannot be consumed after low priority message batch ,Blocker
120, browse shows limit messages,Trivial
122,failover Protocol,Blocker
123,Incorrect Task Usage mentioned for amq browse command for the msgsel,Trivial
124,swiss army knife example broken,Trivial
129,KahaDB not cleaning up log files,Blocker
131,Support selective MBean creation,Blocker
134,Failover transport should not hang on startup if it cannot connect & Failover transport timeout options overrides reconnection strategy,Blocker
135,-pool - Either adds new mbeans or add/remove pair of mbean for each producer in use,Blocker
138,Create Release 5.10.1,Trivial
143,updateClusterFilter doc sample; not using correct regular expression,Trivial
149, Message getProperty and setProperty inconsistent behaviour,Trivial
150,Incorrect Documentation  in org.apache..management.SizeStatisticImpl,Trivial
151,"LoggingBrokerPluggin, configuration variable logMessageEvents is not used",Trivial
154,MQTT does to calls to unsubscribe on a duplicate subscription request.,Trivial
159,5.8.0 Source Files Missing from sources jar and zip,Trivial
163,Broker and clients hang,Blocker
164,MQTT server connections are not thread safe,Blocker
170,BrokerRedeliveryTest.testNoScheduledRedeliveryOfExpired fails intermittently,Trivial
172,Upgrade from  5.7 to 5.9,Blocker
173,Dispatching large messages over AMQP is very slow.,Blocker
175,Web Console - java.lang.OutOfMemoryError: Java heap space - while browsing deep queues,Blocker
185,Failed to deploy AMQ to Glassfish 4,Blocker
188,Timeout for StompLoadTest.testStompUnloadLoad is too long,Trivial
193,broken link at http://svn.apache.org/repos/asf//trunk/-core/src/main/resources/META-INF/services/org/apache//store/jdbc/,Trivial
194,NumberFormatException when parsing JMSXProducerTXID,Blocker
195,"The -admin script cannot connect to the local process , can not get the jmx url",Trivial
198,Persistent topic messages not stored in store,Blocker
199,"ConnectionFatory should populate ""consumerFailoverRedeliveryWaitPeriod""",Trivial
201,Web console do not show connections info,Trivial
202,SocketException: Connection reset exception occurred in  for Bulk message producer,Blocker
213,Error in XML in documentation - lease database locker,Trivial
218,KahaDBTransactionStore.removeAyncMessage may cancel addMessage when in transaction leading to unpersisted messages,Blocker
220,"--plugin fails to resolve path to XBean file in multi-module builds, and does not have a skip flag",Blocker
225,The perfharness-.sh script has 5.0-SNAPSHOT as version number,Trivial
226,Consumers in Client Ack sessions can fail to ack expired messages in some cases,Blocker
229,catstomp.rb does not work anymore,Trivial
231,BrokerService TempUsage and StoreUsage Default Values Are Incorrect,Trivial
233,"For JMSUsecaseTest, incompatible types found   : javax.jms.Message required: org.apache..Message ",Trivial
235,Intended delivery mode for JMSUsecaseTest is not tested,Trivial
238,Messages are not acknowelge and inflight count goes up till max memory is reached for topic,Blocker
241, 5.6 - RAR deployment is not working on JBoss6,Blocker
243,test units should run discovery mechanism via loopback device,Trivial
245,Incorrect variable name in bin/,Trivial
246,Dead api links in on one of the Failover Transport doc,Trivial
247,Composite destinations break simple authorisation through role aggregation,Blocker
250,Suspicious NPE in log when network bridge cannot be established and loggingBrokerPlugin configured,Trivial
251,"""-admin browse"" help command prints incorrect argument name for password in sample usage ",Trivial
253,NPE exception when querying a starting broker use JMX program ,Trivial
258,NPE when KahaDB fails to store to Journal with EOFException,Trivial
264,The InactivityMonitor onException call interrupts itself when the readCheckTime was exceeded.,Trivial
269,NullPointerException in TraceBrokerPath plugin.,Trivial
270,MessageListenerServlet does not clear the timer on destroy,Trivial
271,Messages getting lost on the server startup. Please look at it ASAP.,Blocker
272,Too many open files for db log,Blocker
273, 5.4.2 - Message stuck due to connection hung for amq client,Blocker
274,"Unable to pick up messages anymore, messages are lost - Looking for key xyz but not found in fileMap",Blocker
278,AbstractRegion.java has incorrect null check in contructor,Trivial
281,amq.js initHandler() method swallows first message received,Trivial
282,Update reference to Jencks project ,Trivial
285,Prioritizing of messages isn't applied to all messages during test.,Trivial
291,After running for some days  queues getting inactive.,Blocker
297,Sources missing in --5.4.2-sources.jar,Trivial
303,"Typo ""DispachedCounter"" in response when running -admin",Trivial
307,ConnectionState.getTempDesinations() should be renamed to ConnectionState.getTempDestinations(),Trivial
313,Default jetty configuration for camel applicationContext.xml - use .home instead of .base,Trivial
317,After a performance the server stop working. No errors send to the client. ,Blocker
319,'s webapps based index.html file needs refinements.,Trivial
320,java.io.EOFException: Chunk stream does not exist at page on broker start,Blocker
324,Repeating error of client on reconnect,Blocker
325,Problems with starting ApacheMQ Broker,Blocker
330,Set ClientID - InvalidClientIDException with http transport,Blocker
333,Database lock driver override not found for : [oracle_jdbc_driver].  Will use default implementation.,Blocker
334,KEYS file does not include A2F9E313 which was used to sign the 5.3.2 release,Blocker
336,HTTPS transportConnector does not create a SslSocket but a plain text one,Blocker
339,init.d script fails if RUN_AS_GROUP not defined due to typo,Trivial
345,set findMessageStatement cause problem for JDBCPersistenceAdapter due to error in Statements.java,Blocker
347,Space character inserted before subscriptionID in durable subscription info,Trivial
348,Deadlock during FailoverTransport interruption,Blocker
352,Locale dependent toUpperCase in IntrospectionSupport.,Trivial
358,Message broker won't come back when the databse goes offline and comes back online,Blocker
360,NullPointer Exception Occurs when using producer flow control,Blocker
365,Message is sent to wrong broker in network of brokers inspite of using the Message selector,Blocker
366,"JMX property ""QueueSize"" for Topics keeps increasing and does not seem to reflect the number of messages on the topic.",Trivial
367,  declaration broken,Trivial
369,Ensure -fileserver web.xml conforms to schema,Trivial
370,Non temporary destination removing failure,Blocker
371,"Infinite loop: WARN  PrefetchSubscription           - Ack before disaptch, waiting for recovery dispatch: MessageAck",Blocker
372,max,Blocker
374,Messages keep hanging in JDBCStore without delivery to client,Trivial
377, producer/consumer hangs when one of the consumer didn't respond,Blocker
379,MessageConsumer.unconsumedMessages continues to grow,Blocker
380,Network of pure master/slave hang after large number of messages,Blocker
382,failover option maxReconnectAttempts is not working.,Blocker
390,Wrong/missing OSGi metadata in -core and kahadb,Trivial
395,Message grouping not honored when consumers started with existing messages,Blocker
396,Error While starting AMQ,Blocker
397,"META-INF/services files ended up in wrong bundle (jar), missing imports",Trivial
401,AMQ broker does not honour consumer priority setting on queue,Blocker
404, QueueViewMBean.retryMessage() often seems to fail without retrying,Blocker
411,Deadlock in AMQMessageStore when using transactions,Blocker
413,Failing to close a connection leaves consumers behind that prevent new consumers receiving messages,Blocker
415,Network of pure master/slave synchronization issue,Blocker
416, inflightcount queue statistics aren't decremented when using transactions or when messages are sent to the DLQ,Trivial
420,"Single producer and multiple consumer processes, some consumers stop getting messages.",Blocker
422,"MESSAGE frame should not have the ""receipt"" header",Trivial
426, broker in JBoss hangs when receiving > 25k messages,Blocker
429, 5.1.0 runs out of file descriptors with lots of 'CLOSE_WAIT' sockets,Blocker
430,"out of date javadoc for org.apache..ConnectionFactory.setDispatchAsync param, default value is true on trunk",Trivial
432,activeio-core SNAPSHOT version in 5.0.0 release,Blocker
434,possible dynamic instability in AMQStore indexes,Blocker
435,Problem in Kaha persistence with file name lengths and collisions during persistence,Blocker
438,Broker Network Deadlocking,Blocker
439, version 5.X - java 5 - memory leaks ,Blocker
440,EOFExceptions and Broken Pipe exceptions everywhere in 5.0 (my services seem to run fine under 4.1 and 4.1.1 and somewhat better in 5.1-SNAPSHOT [if you don't count the queue size problem] which is critical),Blocker
443,Inactivity Monitor: org.apache..transport.InactivityIOException: Channel was inactive for too long,Blocker
445,"Exception String from BrokerFactory has a typo - ""Could load "" should presumably read ""Could not load """,Trivial
450,"Thread name spelling mistake: ""AcitveMQ Connection Worker""",Trivial
452,AMQ Store deletes data files which are in use,Blocker
454,Unable to deliver messages through a mixed version broker network,Blocker
461,XBean annotation 'resourceAdapter' is specified twice,Trivial
462,spelling error,Trivial
464,got an exception when running AMQStackOverFlowTest which causes the test suite to hang!,Blocker
465,STOMP connector throws away prefetched messages when client disconnects,Blocker
466,Pure Master/Slave configuration doesn't work,Blocker
467,"Publishing to temporary Queues and advisorySupport=""false""",Blocker
472,"java.lang.ClassCastException: org.apache..ConnectionConsumer, when trying to publish to a topic",Blocker
473," 4.1 has crept in some Java 5 APIs, which prevent it from being used on Java 1.4 JVMs",Blocker
474, AspectJ autoproxying breaks ManagedConnectionFactory injection,Blocker
475,activem.conf: Use ${.base} instead of ..,Trivial
476,Kaha DB hangs on restart,Blocker
478,Deadlock in PrefetchSubscription,Blocker
480,"Error when doing a "" site"" in -core",Blocker
488,Network of brokers duplicates events,Blocker
491,transportConnector using multicast,Blocker
493,Default .properties has stdout enabled and not the out file appender,Trivial
494,Default .xml should not have snippet stuff in it,Trivial
499,Sending messages to a topic with an inactive durable subscription will hang producers,Blocker
500,Eclipse fails to compile -core due to invalid symbol in UdpTransportFactory.java,Trivial
502,fix the uberjar to tidy up the notice/license files to make it absolutely clear whats going on,Blocker
508,Messages Sent by JMS that contain header properties cause error when STOMP client registers a Subscriber,Blocker
509,Openwire client hangs after receiving 999 messages,Blocker
511,CMS Client - unassigned value in ConnectionFactory constructor,Trivial
513, 4   exception with with DB2,Blocker
514,"Composite Destination persisted messages never get cleaned up, halt message producers",Blocker
516,Acked persistent messages redelivered after broker restart.,Blocker
517,The README.txt file contains references to .org,Trivial
520,Consuming multiple messages in a transaction breaks the JournalMessageStore,Blocker
522,Unable to create _ACK table,Blocker
523,Typo in DefaultThreadPools.getDeaultPool(),Trivial
526, java.sql.SQLException: Failed to remove a message during load testing,Blocker
527,  is not JCA1.5 compliant,Blocker
528,No clientID assigned to networkConnction,Trivial
531,bug in redelivery logic in JMS client,Blocker
534,"Typo in thread name ""Cleanup Timmer""",Trivial
535,Keystore files used for unit test in Optional module have expired,Blocker
536,Failover protocol does not work for networkConnectors,Blocker
540,Remove Client,Blocker
541,Use of reliable in NetworkConnector failing (rev 401),Blocker
545,Eclipse project for Core not working,Trivial
547,Missing queue messages,Blocker
553,Messages on a queue are lost when multiple brokers exist if not every broker has a subscriber to the queue,Blocker
555,Messages on a distributed queue are being delivered and redelivered multiple times,Blocker
557,Connector delivers multiple messages to an MDB between beforeDelivery() and afterDelivery() is called.,Blocker
559,No 'webserver' target in 1.3,Blocker
562,ActivationSpec prevents integration with JBoss,Blocker
563,Possible division-by-zero in stats impl,Trivial
0,"5.3.5. Using Sort: typo ""be either""",Trivial
1,When creating  starter with  Initializr there is no dependency for embedded DB,Trivial
2,Sample in README broken,Trivial
3,Documentation PDF - Missing info about version referenced in PDF document,Trivial
4,OSGi headers mandate minimum version 3.2.8,Trivial
5,"Sorting properties can not be named strings that are the keys of the database,such as 'type'，'name'...",Trivial
6,"Sorting properties can not be named strings that are the keys of the database,such as 'type、'，''",Trivial
1,Cannot disable server password encryption,Blocker
4,DefaultModelBuilder.buildRawModel fails as it ignores pom file,Blocker
9, does not start if there is no Jansi native library available,Blocker
11,TransferFailedException in httpcomponents-client-4.5.13 with JDK11,Blocker
12, 4 can't build itself with Java 11,Blocker
13,Classified dependencies not resolved in workspace,Blocker
16,Using MINSTALL/DEPLOY 3.0.0-M1+ does not write plugin information into -metadata.xml,Blocker
18,881274914a80946f8af6e435eff064d3c89974fa introduces regression,Blocker
20,not storing/getting artifacts in/from local repository,Blocker
23,org.sonatype..polyglot.TeslaModelProcessor.locatePom(File) ignores files ending in.xml,Blocker
24, Central returns 200 status for Nexus vulnerability page,Blocker
25, 3.6.0 - throws exception of configuration while trying to build,Blocker
27,apache--3.6.0 Using multi-threaded parameters causes the process to get stuck,Blocker
34, shall not fail reporting circular dependency when the dependency is a classified secondary artifact,Blocker
35,"Exception in thread ""main"" java.lang.Error: java.lang.TypeNotPresentException: Type com.amazonaws.services.lambda.runtime.events.SQSEvent not present",Blocker
39,Parallel builds with empty local repository hang,Blocker
41,can not work with a system dependency on a unix / mac / windows project,Blocker
46,Uploading of any artifact hangs forever,Blocker
47, dependency:get error - Premature end of Content-Length delimited message body (expected: 56473600; received: 6843,Blocker
48, cannot build with Java 1.8.0_131,Blocker
51,Precedence of command-line system property options has changed,Blocker
53,Unable to run  test. Getting org.apache..surefire.util.SurefireReflectionException: ,Blocker
54,Default profile in settings.xml must not use an id possibly already in use. ,Blocker
56,Moving from  3.2.5 or older to  3.3.1 or newer breaks -antrun-plugin,Blocker
57,Upgrade of -simple to a version later than 1.7.16 blocked by upstream issue.,Blocker
